id,observed_on,taxon_name,common_name,iconic_taxon,place_guess,latitude,longitude,quality_grade,num_identification_agreements,user,url,photo_url
302911917,2025-07-29,Araneus quadratus,križiak štvorškvrnný,Arachnida,"Vyšný Komárnik 11, 090 05 Vyšný Komárnik, Slovensko",49.4018433997,21.6999029,research,1,,https://www.inaturalist.org/observations/302911917?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/545930247/small.jpg
302918499,2025-07-29,Arctium tomentosum,lopúch plstnatý,Plantae,"Nižný Komárnik, Prešovský kraj, SK",49.3761116667,21.71783,research,1,Jaroslav Ilek,https://www.inaturalist.org/observations/302918499?locale=sk,https://static.inaturalist.org/photos/545942897/small.jpg
302918865,2025-07-29,Tanacetum vulgare,vratič obyčajný,Plantae,"Nižný Komárnik, Prešovský kraj, SK",49.3761416667,21.7177616667,research,1,Jaroslav Ilek,https://www.inaturalist.org/observations/302918865?locale=sk,https://static.inaturalist.org/photos/545943809/small.jpg
303660403,2025-07-29,Bufo bufo,ropucha bradavičnatá,Amphibia,"Krajná Porúbka 9, 090 05 Krajná Porúbka, Slovensko",49.415335,21.6481216667,research,2,Branislav Tej,https://www.inaturalist.org/observations/303660403?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/547339955/small.jpg
302543557,2025-07-29,Isophya stysi,kobylka Štysova,Insecta,"Vyšný Komárnik 47, 090 05 Vyšný Komárnik, Slovensko",49.4000083333,21.7010916667,research,1,Benjamín Jarčuška,https://www.inaturalist.org/observations/302543557?locale=sk,https://static.inaturalist.org/photos/545252402/small.jpg
301906084,2025-07-28,Orthops basalis,,Insecta,"Cesta 3543, Medvedie, Prešovský kraj, SK",49.3996154401,21.6401603256,needs_id,0,Silvi Karin Tkáčová,https://www.inaturalist.org/observations/301906084?locale=sk,https://static.inaturalist.org/photos/544061357/small.jpg
301906252,2025-07-28,Salamandra salamandra,salamandra škvrnitá,Amphibia,"Medvedie, Prešovský kraj, SK",49.40145065,21.642167,research,2,Silvi Karin Tkáčová,https://www.inaturalist.org/observations/301906252?locale=sk,https://static.inaturalist.org/photos/544061696/small.jpg
301801670,2025-07-28,Erigeron annuus,hviezdnik ročný,Plantae,"Šarbov 11, 090 05 Šarbov, Slovensko",49.4330300798,21.6259911284,research,1,Benjamín Jarčuška,https://www.inaturalist.org/observations/301801670?locale=sk,https://static.inaturalist.org/photos/543870358/small.jpg
302311494,2025-07-28,Rudbeckia laciniata,rudbekia strapatá,Plantae,"Medvedie, Prešovský kraj, SK",49.40145065,21.642167,research,2,Silvi Karin Tkáčová,https://www.inaturalist.org/observations/302311494?locale=sk,https://static.inaturalist.org/photos/544822926/small.jpg
301908367,2025-07-28,Mantis religiosa,modlivka zelená,Insecta,"Medvedie, Prešovský kraj, SK",49.40145065,21.642167,research,1,Silvi Karin Tkáčová,https://www.inaturalist.org/observations/301908367?locale=sk,https://static.inaturalist.org/photos/544065687/small.jpg
301907498,2025-07-28,Bufo bufo,ropucha bradavičnatá,Amphibia,"Medvedie, Prešovský kraj, SK",49.40145065,21.642167,research,2,Silvi Karin Tkáčová,https://www.inaturalist.org/observations/301907498?locale=sk,https://static.inaturalist.org/photos/544064150/small.jpg
301802880,2025-07-28,Isophya stysi,kobylka Štysova,Insecta,"090 05 Šarbov, Slovensko",49.4317055556,21.6263083333,research,1,Benjamín Jarčuška,https://www.inaturalist.org/observations/301802880?locale=sk,https://static.inaturalist.org/photos/543872217/small.jpg
301805363,2025-07-28,Isophya,kobylka,Insecta,"Medvedie 13, 090 05 Medvedie, Slovensko",49.4066859012,21.6332585737,needs_id,4,Martina Hajdukova,https://www.inaturalist.org/observations/301805363?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/543877004/small.jpg
301802838,2025-07-28,Isophya stysi,kobylka Štysova,Insecta,"Šarbov 17, 090 05 Šarbov, Slovensko",49.429630247,21.6269563884,research,1,Benjamín Jarčuška,https://www.inaturalist.org/observations/301802838?locale=sk,https://static.inaturalist.org/photos/543872138/small.jpg
301801344,2025-07-28,Rudbeckia laciniata,rudbekia strapatá,Plantae,"Šarbov 16, 090 05 Šarbov, Slovensko",49.4291666667,21.6287888889,research,1,Benjamín Jarčuška,https://www.inaturalist.org/observations/301801344?locale=sk,https://static.inaturalist.org/photos/543869813/small.jpg
301800363,2025-07-28,Typha latifolia,pálka širokolistá,Plantae,"Šarbov 16, 090 05 Šarbov, Slovensko",49.4284503243,21.6290112957,research,1,Benjamín Jarčuška,https://www.inaturalist.org/observations/301800363?locale=sk,https://static.inaturalist.org/photos/543868646/small.jpg
